Field,Value
Title,California Historical Fire Perimeters
URL,california-historical-fire-perimeters
Description,"<p><span style='color:#000000; font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'>The California Department of Forestry and Fire Protection's Fire and Resource Assessment Program (FRAP) annually maintains and distributes an historical wildland fire perimeter dataset from across public and private lands in California. The GIS data is developed with the cooperation of the United States Forest Service Region 5, the Bureau of Land Management, California State Parks, National Park Service and the United States Fish and Wildlife Service and is released in the spring with added data from the previous calendar year. Although the dataset represents the most complete digital record of fire perimeters in California, it is still incomplete, and users should be cautious when drawing conclusions based on the data.&nbsp;&nbsp;</span></p><p><span style='color:#000000;'>This data should be used carefully for statistical analysis and reporting due to missing perimeters&nbsp;(see Use Limitation in metadata).&nbsp;Some fires are missing because historical records were lost or damaged, were too small for the minimum cutoffs, had inadequate documentation or have not yet been incorporated into the database. Other errors with the fire perimeter database include duplicate fires and over-generalization. Additionally, over-generalization, particularly with large old fires, may show unburned ""islands"" within the final perimeter as burned. Users of the fire perimeter database must exercise caution in application of the data. Careful use of the fire perimeter database will prevent users from drawing inaccurate or erroneous conclusions from the data. This data is updated annually in the spring with fire perimeters from the previous fire season.&nbsp;This dataset may differ&nbsp;in California compared to that available from the National Interagency Fire Center (NIFC)&nbsp;due to different requirements between the two datasets.&nbsp;The data covers fires back to 1878.&nbsp;&nbsp;As of May 2025, it represents fire24_1.&nbsp;</span></p><p>&nbsp;</p><p><span style='color:#000000;'><strong>Please help improve this dataset by filling out this survey with feedback:</strong></span></p><p><a target='_blank' href='https://survey123.arcgis.com/share/b296589b82af45f1ad9298d11a2fb5d3?portalUrl=https://CALFIRE-Forestry.maps.arcgis.com' rel='nofollow ugc noopener noreferrer'><span style='color:#6495ed;'>Historic Fire Perimeter Dataset Feedback (arcgis.com)</span></a></p><p>&nbsp;</p><p><span style='color:#000000;'><strong>Current criteria for data collection are as follows:</strong></span></p><p><span style='color:#000000;'>CAL FIRE (including contract counties) submit perimeters ≥10 acres in timber, ≥50 acres in brush, or ≥300 acres in grass, and/or ≥3 impacted residential or commercial structures, and/or caused ≥1 fatality.</span></p><p><span style='color:#000000;'>All cooperating agencies submit perimeters ≥10 acres.</span></p><p><br />&nbsp;</p><p><span style='color:#000000;'><strong>Version update:</strong></span></p><p style='margin-bottom:0in;'><span style='color:#000000;'>Firep24_1 was released in April 2025. Five hundred forty-eight fires from the 2024 fire season were added to the database (2 from BIA, 56 from BLM, 197 from CAL FIRE, 193 from Contract Counties, 27 from LRA, 8 from NPS, 55 from USFS and 8 from USFW). <strong>Six perimeters were added from the 2025 fire season (as a special case due to an unusual January fire siege)</strong>. Five duplicate fires were removed, and the 2023 Sage was replaced with a more accurate perimeter. There were 900 perimeters that received updated attribution (705 removed “FIRE” from the end of Fire Name field and 148 replaced Complex IRWIN ID with Complex local incident number for COMPLEX_ID field). The following fires were identified as meeting our collection criteria but are not included in this version and will hopefully be added in a future update: Addie (2024-CACND-002119), Alpaugh (2024-CACND-001715), South (2024-CATIA-001375). One perimeter is missing containment date that will be updated in the next release.</span></p><p style='margin-bottom:0in;'><span style='color:#000000;'>Cross checking CALFIRS reporting for new CAL FIRE submissions to ensure accuracy with cause class was added to the compilation process. The cause class domain description for “Powerline” was updated to “Electrical Power” to be more inclusive of cause reports.</span></p><p style='margin-bottom:0in;'><br />&nbsp;</p><p><span style='color:#000000;'><strong>Includes separate layers filtered by criteria as follows:</strong></span></p><p><span style='color:#000000;'>California Fire Perimeters (All): Unfiltered. The entire collection of wildfire perimeters in the database.&nbsp;&nbsp;It is scale dependent and starts displaying at the country level scale.&nbsp;</span></p><p><span style='color:#000000;'>Recent Large Fire Perimeters (</span><span style='color:#000000; font-family:&quot;Google Sans&quot;, Roboto, arial, sans-serif; font-size:medium;'>≥</span><span style='color:#000000;'>5000 acres): Filtered for wildfires greater or equal to 5,000 acres for the last 5 years of fires (2020-January 2025), symbolized with color by year and is scale dependent and starts displaying at the country level scale. Year-only labels for recent large fires.</span></p><p><span style='color:#000000;'>California Fire Perimeters (1950+):&nbsp;&nbsp;Filtered for wildfires that started in 1950-January 2025.&nbsp;&nbsp;Symbolized by decade, and display starting at country level scale.</span></p><p><br />&nbsp;</p><p><span style='color:#000000;'><strong>Detailed metadata is included in the following documents:</strong></span></p><p style='background-attachment:initial; background-clip:initial; background-image:initial; background-origin:initial; background-position:initial; background-repeat:initial; background-size:initial; line-height:normal;'><a target='_blank' href='https://calfire-forestry.maps.arcgis.com/home/item.html?id=93a1f8cc1456497f86ecd25933e6c9b9' rel='nofollow ugc noopener noreferrer'><span style='color:rgb(0,97,155); font-family:&quot;Times New Roman&quot;, serif; font-size:12pt;'><span style='background-attachment:initial; background-clip:initial; background-image:initial; background-origin:initial; background-position:initial; background-repeat:initial; background-size:initial;'>Wildland Fire Perimeters (Firep24_1) Metadata</span></span></a></p><p><span style='color:#000000;'><strong>See more information on our Living Atlas data release here:</strong></span></p><p><span style='color:#000000;'><strong>&nbsp;</strong></span><a target='_blank' href='https://www.esri.com/arcgis-blog/products/arcgis-living-atlas/decision-support/cal-fire-historical-fire-perimeters-available-in-arcgis-living-atlas' rel='nofollow ugc noopener noreferrer'>CAL FIRE Historical Fire Perimeters Available in ArcGIS Living Atlas</a></p><p><span style='color:#000000;'><strong>For any questions, please contact the data steward:</strong></span></p><p><span style='color:#000000;'>Kim Wallin, GIS Specialist</span></p><p><span style='color:#000000;'>CAL FIRE, Fire &amp; Resource Assessment Program (FRAP)</span></p><p><span style='color:#000000;'>kimberly.wallin@fire.ca.gov</span></p>"
Tags,"CAL FIRE,CAOpenData,California,California Forestry and Fire Protection,FRAP,Fire and Fuels,cal fire,fire,fire perimeters,wildfires"
License,cc-by
Topics,"Fire,Natural Resources"
Organization,CAL FIRE
Public Access Level,Public
Rights,No restrictions on public use
Program Contact Name,egis.CALFIRE
